Date,Message
2026-08-07T21:57:00.000+01:00,GCLOSEHDR;1970-01-01 01:00;2026-08-10 03:28;304;517;8
2026-08-07T21:57:00.000+01:00,GCLOSE;104;CADCHF;A2:14;2026-08-04 20:50;2026-08-04 21:03;2;short;2026-08-04 20:19
2026-08-07T21:57:00.000+01:00,GCLOSE;105;USDCAD;A2:14;2026-08-04 21:23;2026-08-04 21:24;1;short;2026-08-04 21:17
2026-08-07T21:57:00.000+01:00,GCLOSE;106;EURJPY;A2:14;2026-08-04 22:09;2026-08-04 22:20;2;long;2026-08-04 22:06
2026-08-07T21:57:00.000+01:00,GCLOSE;107;AUDJPY;A2:14;2026-08-04 22:50;2026-08-04 22:52;2;long;2026-08-04 22:49
2026-08-07T21:57:00.000+01:00,GCLOSE;108;AUDCAD;A2:14;2026-08-04 22:11;2026-08-04 23:10;5;long;2026-08-04 22:09
2026-08-07T21:57:00.000+01:00,GCLOSE;109;GBPCHF;A2:14;2026-08-04 23:40;2026-08-04 23:41;1;long;2026-08-04 23:14
2026-08-07T21:57:00.000+01:00,GCLOSE;110;USDCHF;A2:14;2026-08-05 00:19;2026-08-05 00:20;1;long;2026-08-05 00:18
2026-08-07T21:57:00.000+01:00,GCLOSE;111;AUDCAD;A2:14;2026-08-05 00:23;2026-08-05 00:24;1;long;2026-08-05 00:20
2026-08-07T21:57:00.000+01:00,GCLOSE;112;EURGBP;B1:25;2026-08-04 23:22;2026-08-05 00:37;5;long;2026-08-04 23:21
2026-08-07T21:57:00.000+01:00,GCLOSE;113;AUDUSD;A2:14;2026-08-05 00:41;2026-08-05 00:42;1;short;2026-08-05 00:40
2026-08-07T21:57:00.000+01:00,GCLOSE;114;EURCAD;A2:14;2026-08-05 01:04;2026-08-05 01:05;1;long;2026-08-05 01:03
2026-08-07T21:57:00.000+01:00,GCLOSE;115;EURCHF;A2:14;2026-08-05 00:53;2026-08-05 01:06;2;short;2026-08-05 00:52
2026-08-07T21:57:00.000+01:00,GCLOSE;116;EURJPY;A2:14;2026-08-05 01:55;2026-08-05 01:56;1;short;2026-08-05 01:26
2026-08-07T21:57:00.000+01:00,GCLOSE;117;EURCHF;B1:25;2026-08-05 01:55;2026-08-05 01:57;2;short;2026-08-05 01:29
2026-08-07T21:57:00.000+01:00,GCLOSE;118;EURUSD;A2:14;2026-08-05 02:28;2026-08-05 02:32;3;short;2026-08-05 01:52
2026-08-07T21:57:00.000+01:00,GCLOSE;119;GBPUSD;A2:14;2026-08-05 02:29;2026-08-05 02:32;2;short;2026-08-05 02:28
2026-08-07T21:57:00.000+01:00,GCLOSE;120;AUDCHF;A2:14;2026-08-05 03:10;2026-08-05 03:11;1;short;2026-08-05 03:02
2026-08-07T21:57:00.000+01:00,GCLOSE;121;USDCAD;A2:14;2026-08-05 02:29;2026-08-05 03:19;4;long;2026-08-05 02:28
2026-08-07T21:57:00.000+01:00,GCLOSE;122;EURGBP;B1:25;2026-08-05 01:30;2026-08-05 03:22;3;long;2026-08-05 01:09
2026-08-07T21:57:00.000+01:00,GCLOSE;123;EURUSD;D2:35;2026-08-05 03:23;2026-08-05 03:24;1;long;2026-08-05 03:09
2026-08-07T21:57:00.000+01:00,GCLOSE;124;EURCHF;A2:14;2026-08-05 03:46;2026-08-05 03:47;1;short;2026-08-05 02:59
2026-08-07T21:57:00.000+01:00,GCLOSE;125;CHFJPY;B2:28;2026-08-05 04:04;2026-08-05 04:05;1;long;2026-08-05 04:03
2026-08-07T21:57:00.000+01:00,GCLOSE;126;EURGBP;A2:14;2026-08-05 04:05;2026-08-05 04:13;2;long;2026-08-05 04:04
2026-08-07T21:57:00.000+01:00,GCLOSE;127;EURUSD;A2:14;2026-08-05 04:17;2026-08-05 04:34;2;short;2026-08-05 04:13
2026-08-07T21:57:00.000+01:00,GCLOSE;128;EURCAD;B2:28;2026-08-05 04:35;2026-08-05 04:36;1;short;2026-08-05 04:08
2026-08-07T21:57:00.000+01:00,GCLOSE;129;USDCHF;A2:14;2026-08-05 04:37;2026-08-05 04:50;5;long;2026-08-05 04:34
2026-08-07T21:57:00.000+01:00,GCLOSE;130;AUDCAD;A2:14;2026-08-05 05:48;2026-08-05 05:50;2;short;2026-08-05 05:46
2026-08-07T21:57:00.000+01:00,GCLOSE;131;GBPAUD;A2:14;2026-08-05 05:49;2026-08-05 05:59;2;long;2026-08-05 05:48
2026-08-07T21:57:00.000+01:00,GCLOSE;132;GBPCAD;C1:11;2026-08-05 05:11;2026-08-05 06:36;2;long;2026-08-05 04:48
2026-08-07T21:57:00.000+01:00,GCLOSE;133;GBPCHF;A2:14;2026-08-05 07:13;2026-08-05 07:14;1;long;2026-08-05 07:12
2026-08-07T21:57:00.000+01:00,GCLOSE;134;GBPUSD;A2:14;2026-08-05 07:20;2026-08-05 07:24;2;short;2026-08-05 07:19
2026-08-07T21:57:00.000+01:00,GCLOSE;135;USDCHF;B2:28;2026-08-05 07:23;2026-08-05 07:24;1;long;2026-08-05 07:20
2026-08-07T21:57:00.000+01:00,GCLOSE;136;EURJPY;A2:14;2026-08-05 07:24;2026-08-05 07:25;1;long;2026-08-05 06:37
2026-08-07T21:57:00.000+01:00,GCLOSE;137;EURUSD;B2:28;2026-08-05 07:43;2026-08-05 07:45;2;long;2026-08-05 07:19
2026-08-07T21:57:00.000+01:00,GCLOSE;138;USDCHF;C1:11;2026-08-05 07:47;2026-08-05 07:48;1;short;2026-08-05 07:46
2026-08-07T21:57:00.000+01:00,GCLOSE;139;GBPJPY;A2:14;2026-08-05 07:47;2026-08-05 07:48;1;long;2026-08-05 07:12
2026-08-07T21:57:00.000+01:00,GCLOSE;140;GBPUSD;C1:11;2026-08-05 07:51;2026-08-05 08:11;3;short;2026-08-05 07:50
2026-08-07T21:57:00.000+01:00,GCLOSE;141;GBPAUD;A2:14;2026-08-05 08:21;2026-08-05 08:22;1;long;2026-08-05 08:20
2026-08-07T21:57:00.000+01:00,GCLOSE;142;EURGBP;B2:28;2026-08-05 06:22;2026-08-05 08:30;6;short;2026-08-05 06:10
2026-08-07T21:57:00.000+01:00,GCLOSE;143;USDCAD;A2:14;2026-08-05 08:31;2026-08-05 08:32;1;long;2026-08-05 07:58
2026-08-07T21:57:00.000+01:00,GCLOSE;144;GBPCAD;B2:28;2026-08-05 09:25;2026-08-05 09:44;2;short;2026-08-05 09:23
2026-08-07T21:57:00.000+01:00,GCLOSE;145;GBPAUD;A2:14;2026-08-05 10:52;2026-08-05 11:03;2;long;2026-08-05 10:50
2026-08-07T21:57:00.000+01:00,GCLOSE;146;AUDCAD;A2:14;2026-08-05 11:19;2026-08-05 11:20;1;short;2026-08-05 11:18
2026-08-07T21:57:00.000+01:00,GCLOSE;147;CHFJPY;B2:28;2026-08-05 11:28;2026-08-05 11:29;1;short;2026-08-05 10:48
2026-08-07T21:57:00.000+01:00,GCLOSE;148;USDCAD;A1:13;2026-08-05 11:50;2026-08-05 11:51;1;long;2026-08-05 11:30
2026-08-07T21:57:00.000+01:00,GCLOSE;149;EURCHF;A1:13;2026-08-05 12:14;2026-08-05 12:15;1;short;2026-08-05 12:13
2026-08-07T21:57:00.000+01:00,GCLOSE;150;GBPCAD;A1:13;2026-08-05 12:14;2026-08-05 12:15;1;long;2026-08-05 12:13
2026-08-07T21:57:00.000+01:00,GCLOSE;151;EURAUD;B2:28;2026-08-05 13:04;2026-08-05 13:12;2;short;2026-08-05 13:03
2026-08-07T21:57:00.000+01:00,GCLOSE;152;USDJPY;A2:14;2026-08-05 13:48;2026-08-05 13:52;3;long;2026-08-05 13:36
2026-08-07T21:57:00.000+01:00,GCLOSE;153;AUDUSD;A2:14;2026-08-05 13:48;2026-08-05 14:02;2;short;2026-08-05 13:34
2026-08-07T21:57:00.000+01:00,GCLOSE;154;CADCHF;A2:14;2026-08-05 13:40;2026-08-05 14:08;2;short;2026-08-05 13:37
2026-08-07T21:57:00.000+01:00,GCLOSE;155;USDJPY;C2:29;2026-08-05 13:58;2026-08-05 14:13;3;short;2026-08-05 13:57
2026-08-07T21:57:00.000+01:00,GCLOSE;156;AUDJPY;A2:14;2026-08-05 14:52;2026-08-05 14:53;1;long;2026-08-05 14:39
2026-08-07T21:57:00.000+01:00,GCLOSE;157;EURGBP;B2:28;2026-08-05 15:29;2026-08-05 15:30;1;short;2026-08-05 15:11
2026-08-07T21:57:00.000+01:00,GCLOSE;158;EURAUD;B2:28;2026-08-05 15:21;2026-08-05 15:34;3;short;2026-08-05 15:20
2026-08-07T21:57:00.000+01:00,GCLOSE;159;AUDJPY;B2:28;2026-08-05 15:49;2026-08-05 15:50;1;long;2026-08-05 14:58
2026-08-07T21:57:00.000+01:00,GCLOSE;160;GBPAUD;A2:14;2026-08-05 15:58;2026-08-05 16:00;2;long;2026-08-05 15:52
2026-08-07T21:57:00.000+01:00,GCLOSE;161;AUDUSD;A2:14;2026-08-05 16:59;2026-08-05 17:00;1;short;2026-08-05 16:54
2026-08-07T21:57:00.000+01:00,GCLOSE;162;GBPUSD;A1:13;2026-08-05 17:04;2026-08-05 17:05;1;long;2026-08-05 17:03
2026-08-07T21:57:00.000+01:00,GCLOSE;163;CADCHF;A2:14;2026-08-05 16:55;2026-08-05 17:48;3;short;2026-08-05 16:54
2026-08-07T21:57:00.000+01:00,GCLOSE;164;AUDCHF;A1:13;2026-08-05 17:54;2026-08-05 17:55;1;short;2026-08-05 17:53
2026-08-07T21:57:00.000+01:00,GCLOSE;165;GBPUSD;C2:29;2026-08-05 18:08;2026-08-05 18:09;1;short;2026-08-05 18:05
2026-08-07T21:57:00.000+01:00,GCLOSE;166;EURCHF;A2:14;2026-08-05 18:25;2026-08-05 18:26;1;short;2026-08-05 18:24
